ID,Title,Authors (IDs),Authors (names),Base texts (IDs),Base texts (names)
96361,Abhinavabhāratī,85352,Abhinavagupta,,
93322,Abhinavabhaṣya on Patañjali`s Yogasūtras,86443,Bhavadeva,,
92341,Abhinavacandrikā,86199,Satyanātha Yati,90343,Tattvaprakāśikā
41434,Abhinavacintāmaṇi,40492,Cakrapāṇidāsa,,
92336,Abhinavagadā,86199,Satyanātha Yati,,
41226,Abhinavakarṇāmṛta,40235,Aṇṇaya,,
92340,Abhinavāmṛta,86199,Satyanātha Yati,90354,Pramāṇapaddhati
92662,Abhinavaparimala,86270,Vanamālimiśra,,
94360,Abhinavarājalakṣmī on Īśvarakṛṣṇa's Sāṃkhyakārikās,86860,Guru Prasāda Śāstrin,88213,Sāṅkhyakārikā
94498,Abhinavarājalakṣmī on Īśvarakṛṣṇa's Sāṃkhyakārikās,86922,Sītā Rāma Śāstrin,88213,Sāṅkhyakārikā
92337,Abhinavatarkatāṇḍava,86199,Satyanātha Yati,,
108761,Abhinavaveṇīsaṃharaṇa,40304,Kapilendradeva Gajapati,,
90454,Abhinavavṛtti on Devagupta Sūri's Navapadaprakaraṇa,85675,Devendra Sūri,89181,Navapadaprakaraṇa and Śrāvakanandī thereon
93654,Abhinnanimitta,86561,Anantācārya,,
41779,Abhinyāsakālajñāna,,,,
89820,Abhiprāyaprakāśikā on Maṇḍana Miśra's Brahmasiddhi,85525,Citsukha,88611,Brahmasiddhi
89192,Abhisamayahṛdaya,85358,Jñānaśrīmitra,,
88231,Abhisamayālaṃkāra,85125,Asaṅga,,
88540,Abhisamayālaṃkāvārttika,85188,Bhadanta Vimuktisena,88231,Abhisamayālaṃkāra
88449,Abhisamayapañjikā,85163,Kambala,,
110684,Abhiṣekamantra,,,,
109512,Abhītistava,85613,Vedāntadeśika,,
92540,Ābhoga on Amalānanda's Vedāntakalpataru,86225,Lakṣmī Nṛsiṃha,89903,Vedāntakalpataru
42167,Abhrakabhasmavidhāna,,,,
105099,Abhrakādisattvapātanavidhi,,,,
42407,Abhrakasattva,,,,
104784,Abhrakaśodhanamāraṇāmṛtīkaraṇavidhi,,,,
42052,Abhrakayoga,,,,
110647,Abhuktamūlalakṣaṇa,110646,Vṛddhavasiṣṭha,,
95813,Abuddhabodhaka,,,,
113397,Acalābhiśeka,,,,
113559,Acalābhiṣeka maṇḍala darśana vidhi,,,,
90491,Acalamatanirākaraṇa,85694,Guṇaratna Sūri,,
41225,Acalātmajāpariṇayamu,40232,Veṅkaṭa,,
111673,Acāra Pradīpa Sandhyā Vidhi,111670,Bhaṭṭa Nāga Deva,,
41260,Ācāracintāmaṇi,40307,Godāvaramiśra,,
110696,Ācārādarśa,109961,Śrīdatta,,
112741,Ācārādarśapaddhatiarpaṇa,,,,
90622,Ācāradinakara,85756,Vārdhamāna Sūri,,
88489,Ācārāṅganiryukti,85169,Bhadrabāhu,,
110801,Ācārāṅgasūtra,,,,
90614,Ācārapradīpa,85751,Ratnaśekhara Sūri,,
41654,Ācārenduśekhara,40667,Nāgeśabhaṭṭa,,
90334,Ācāropadeśa,85645,Cāritrasundara Gaṇi,,
113658,Ācāryābhiṣeka pujā vidhi,,,,
95098,Ācāryacaritraratnāvalī,87396,Kavitārkikasiṃhācārya,,
90921,Ācāryahṛdaya,85868,Raṅgarāja Yajvan,,
90808,Ācāryakārikā,85845,Vallabha,,
91749,Ācāryamatarahasya,86103,Harirāma Tarkavāgīśa,,
93397,Ācāryaniṣṭhavicāra,86459,Pādukāsevaka Rāmānuja Yati,95999,Īśā(vāsya)upaniṣad
94636,Ācāryapañcasat on Bādarāyaṇa's Brahmasūtras,87009,Siṃhadāsa,88037,Brahmasūtra
91320,Ācāryaviṃśati,85975,Mahācārya,,
41227,Ācāryaviṃśatistotra,40235,Aṇṇaya,,
88472,Acintyaguṇasarvabuddhaparigrahasūtra,,,,
93627,Ādarśa on Vādideva's Pramāṇapaddhati,86539,Hulugi Narasiṃhācārya,90354,Pramāṇapaddhati
94023,Ādarśita on Gadādhara's Śaktivāda,86673,Sudarśanācārya Pañjabi,92257,Śaktivādavicāra
94026,Ādarśita on Gadādhara's Vyutpattivāda,86673,Sudarśanācārya Pañjabi,92261,Vyutpattivāda
105288,Adbhutadarpaṇa,,,,
105298,Adbhutadarpaṇa,,,,
105285,Adbhutārṇava,,,,
105279,Adbhutasāgara,"108570, 108591","Ballālasena, Lakṣmaṇasena",,
105319,Adbhutasāgara,,,,
111544,Adbhutasāgara,111543,Madotrālasena deva,,
105311,Adbhutaśubhāśubhajñāna,,,,
94956,Ādeśakaumudīkhaṇḍana,87271,Gopālācārya,,
91402,Ādeśamālā,85997,Rāmācārya,,
105207,Ādeśapraśna,108649,Dāmodara,,
112988,Ādhānapaddhati,,,,
41756,Ādhānaprayoga,40338,Anantadeva II,,
95409,Adhidīdhitibhāvārtha,87660,Rāmakṛṣṇa Paṇḍita,,
105323,Adhikamāsavarṇana,,,,
89817,Adhikāramañjarī,85525,Citsukha,88037,Brahmasūtra
92677,Adhikaraṇacandrikā,40338,Anantadeva II,,
91722,Adhikaraṇacandrikā on Jaimini's Mīmāṃsāsūtras,86092,Rudra Bhaṭṭācārya,88036,Mīmāṃsāsūtras
94423,Adhikaraṇacatuṣṭayī,86885,Kṛṣṇa Śāstrin Karuṅgalam,,
90308,Adhikaraṇacintāmaṇi on Vedānta Deśika's Adhikaraṇasārāvalī,85637,Kumāra Vedānta Deśika,90170,Adhikaraṇasārāvalī
41259,Adhikaraṇadarpaṇa,40307,Godāvaramiśra,,
92072,Adhikaraṇadarśa,86137,Bābadeva,,
91358,Adhikaraṇadīpikā and Vyākhyā thereon,85981,Kastūri,,
93890,Adhikaraṇakañcukā on Dakṣiṇāmūrti's Brahmasūtravṛtti,86631,Appaya,93712,Vṛtti on Bādarāyaṇa's Brahmasūtras
90916,Adhikaraṇakaumudī,85866,Devanātha Ṭhakkura Tarkapañcānana,,
95407,Adhikaraṇakaumudī,87658,Rāmakṛṣṇa,,
90702,Adhikaraṇamālā,85799,Govinda Ṭhakkura,,
94887,Adhikaraṇamālā,87224,Devarāma Bhaṭṭa,,
97103,Adhikaraṇamālā,85636,Vidyāraṇya,88037,Brahmasūtra
97118,Adhikaraṇamālāṭīkā,85636,Vidyāraṇya,97103,Adhikaraṇamālā
95553,Adhikaraṇamīmāṃsā,87793,Śrīnivāsa,,
92460,Adhikaraṇānukramaṇikā on Bādarāyaṇa's Brahmasūtras,86207,Kṛṣṇānanda Sarasvatī,88037,Brahmasūtra
92916,Adhikaraṇanyāyamālā,86309,Vaidyanātha Tatsat,,
93523,Adhikaraṇanyāyamālā on Puruṣottama Pītāmbara's Vedāntamālā,86499,Gopeśvara,92427,Vedānta(adhikaraṇa)mālā
90163,Adhikaraṇaratnamālā,85611,Sukhaprakāśamuni,,
90149,Adhikaraṇārthasaṃgraha,85609,Padmanābha Tīrtha,,
91322,Adhikaraṇārthasaṃgraha,85975,Mahācārya,,
94958,Adhikaraṇārthasaṃgraha on Bādarāyaṇa's Brahmasūtras,87273,Gopāla Kṛṣṇācārya,88037,Brahmasūtra
95643,Adhikaraṇārthaślokadīpikā,87873,Udayapūjyapāda,,
95477,Adhikaraṇasādhasrasiddhāntakārikā,87724,Śaṃkara Bhaṭṭa,,
91071,Adhikaraṇasaṃgraha,85920,Viṭṭhala Nātha Dīkṣita,,
93137,Adhikaraṇasaṃgraha,86388,Nirbhayarāma,,
93611,Adhikaraṇasaṃgrahavyākhyā,86531,Veṅkaṭeśvara Sūri,90198,Rahasyatrayasāra
94557,Adhikaraṇasaṃkhyāviṣayabodhinī,86956,Vedāntadeśika Yatīndramahādeśika,,
92615,Adhikaraṇasaṃkṣepa,86256,Śambhu Bhaṭṭa,,
90170,Adhikaraṇasārāvalī,85613,Vedāntadeśika,89485,Śrībhāṣya
95393,Adhikaraṇasārāvalī,87646,Rāmabhadrācārya,,
89983,Adhikaraṇasārāvalī on Rāmānuja's Vedāntasāra,85574,Sudarśana Sūri,89487,Vedānta(tattva)sāra
93028,Adhikaraṇaślokārthadīpikā,86341,Udaya Pūjyapāda,,
95783,Adhikaraṇasūtravṛtti,87994,Viṭṭhala Budhākara,,
89818,Adhikārasaṃgati,85525,Citsukha,,
90169,Adhikārasaṅgraha,85613,Vedāntadeśika,,
108221,Adhimāsādinirṇaya,,,,
105313,Adhimāsanirṇaya,,,,
92613,Adhiṣṭhānaviveka,86255,Prakāśānanda Sarasvatī,,
94701,Adhiṣṭhānavivekādiprakaraṇa,87062,Ādiśeṣa Śāstrin,,
113445,Adhivāsanakriyāvidhi,,,,
94685,Adhunikapraticyopamānamīmāṃṣa,87050,Arindam Chakrabarti,,
42427,Adhvaramīmāṃsākutūhalavṛtti,40923,Vāsudevadīkṣita,88036,Mīmāṃsāsūtras
88116,Adhyarddhaśataka,85100,Mātṛceṭa,,
113157,Adhyātma Rāmayaṇa- Yuddhakāṇḍa,113156,Rāmānanda,,
92088,Adhyātmabindu,86144,Rāmānanda Tīrtha,,
92487,Adhyātmabindu,86219,Yaśovijaya,,
90676,Adhyātmabindu and autocommentary thereon,85784,Harṣavardhana Gaṇi,,
93162,Adhyātmacandrikā,86395,Advaitānanda Tīrtha,,
93299,Adhyātmacintā,86440,Devarāja,,
94754,Adhyātmadarpaṇa on Adhyātma Upaniṣad,87109,Appayaśivācārya,95916,Adhyātmopaniṣad
94655,Adhyātmādvaitadarśana,87024,Rāmadāsa Nirakari,,
90457,Adhyātmakalpadruma(śāntarasabhāvanā),85676,Munisundara Suṛi,,
91551,Adhyaṭmakalpalatā on Munisundara Sūri's Adhyātmakalpadruma,86048,Ratnacandra Gaṇi,"90457, 90457","Adhyātmakalpadruma(śāntarasabhāvanā), Adhyātmakalpadruma(śāntarasabhāvanā)"
91276,Adhyātmakamalamārtaṇḍa,85958,Rājanalla,,
90780,Adhyātmakamalaṭīkā,85831,Tāraṇa,,
91833,Adhyātmakārikāvalī,86109,Niyamānanda,,
89663,Adhyātmakhaṇḍadvayavivaraṇa,85478,Parāśarabhaṭṭa,,
95289,Adhyātmamālā,87565,Nemidāsa,,
92519,Adhyātmamataparīkṣā and Vṛtti thereon,86219,Yaśovijaya,,
95251,Adhyātmapaddhati,87526,Nandī Guru,,
89430,Adhyātmapadyavṛtti,85406,Śubhacandra,,
88626,Adhyātmapaṭala,85218,Śaṃkara,,
89845,Adhyātmarahasya,85533,Āśādhara,,
97266,Adhyātmarāmāyaṇa,,,,
41358,Adhyātmarāmāyaṇaprakāśa,40416,Bhāskara,,
97299,Adhyātmarāmāyaṇaṭīkā,97298,Rāmavarman,,
88758,Adhyātmasandoha,85236,Yogīndudeva,,
92488,Adhyātmasāra,86219,Yaśovijaya,,
95345,Adhyātmasāraśataka,87608,Prabhākaragupta,,
92091,Adhyātmasarvasva,86144,Rāmānanda Tīrtha,,
89191,Adhyātmāṣṭaka,85357,Vādirāja Sūri,,
92371,Adhyātmasudhātaraṅgiṇī,86205,Puruṣottama Pītāmbara,91833,Adhyātmakārikāvalī
94119,Adhyātmasudhātaraṅgiṇī,86731,Devīprasāda Śarman,,
94129,Adhyātmasudhātaraṅginī on Puruṣottamaprasāda Vaiṣnava I’s Vedāntakārikā,,,92555,Vedāntakārikāvalī
95536,Adhyātmataraṅgiṇī,87777,Somadeva,,
94121,Adhyātmatattvāloka,86733,Nyāyavijaya,,
95412,Adhyātmavāsudeva,87663,Rāma Maṇi Dāsa,,
97673,Adhyātmavidyā,85218,Śaṃkara,,
95806,Ādhyātmikadīpikā on the Bhagavadgītā,88013,Yogirāja Śrīśyāmācaraṇa Lāhirī Mahāśaya,42214,Bhagavadgītā
92489,Ādhyātmikamatakhaṇḍana and autocommentary,86219,Yaśovijaya,,
95916,Adhyātmopaniṣad,,,,
92510,Adhyātmopaniṣatprakaraṇa,86219,Yaśovijaya,,
95181,Adhyayanavidhicarcā,87461,Lakṣmīdhara,,
95917,Ādi Granth,,,,
89128,Ādiślokadvayavyākhyāna on Asaṅga's Mahāyānasūtrālaṃkāra,85341,Parahita,88236,Mahāyānasūtrālaṃkāra
104364,Ādityabhaktāvarṇana,,,,
108229,Ādityādigrahaphala,,,,
112196,Ādityahṛdayastotra,,,,
111558,Ādityastava,,,,
95157,Advaita Unmai,87449,Kumāra Deva,,
93189,Advaitabahiṣkāra,86403,Raṅgarāja,,
96491,Advaitabhrāntiprakāśa,86869,Satyadhyāna Tīrtha,,
90992,Advaitabhuṣaṇa,85908,Bodhendrayati,,
89193,Advaitabindu(prakaraṇa),85358,Jñānaśrīmitra,,
93155,Advaitabodha,86391,Ghanaśyāma,,
94388,Advaitabodhadīpikā,86868,Hariharānanda Sarasvatī,,
95303,Advaitabodhadīpikā,87578,Nṛsiṃha Bhaṭṭa,,
92108,Advaitabrahmasiddhi,86145,Sadānanda Yati,,
95805,Advaitabrahmasudhā,88012,Yogīndra Śāntāśrama Śiṣya,,
93810,Advaitabrahmasudhākārikā and autocommentary,86609,Govindānanda Sarasvatī,,
94063,Advaitabrahmatattvaprakāśikā,86698,Iṃguva Vīrarāghava Yajvan,,
95252,Advaitabrahmavidyāpaddhati,87527,Nandīśvar Gopālāśrama,,
91924,Advaitacandrikā,86118,Ananta Bhaṭṭa,,
94020,Advaitacandrikā,86673,Sudarśanācārya Pañjabi,,
94841,Advaitacandrikā,87189,Cidānanda,,
96754,Advaitacandrikā,86264,Gauḍa Brahmānanda Sarasvatī,91131,Advaitasiddhi
91398,Advaitacandrikā on Appayya Dīkṣita's Siddhāntaleśasaṃgraha,85994,Yajñanārāyaṇa,91263,Siddhāntaleśasaṃgraha
95265,Advaitacandrikā on Nṛsiṃhāśrama's Bhedadhikkāra,87540,Narasiṃha Bhaṭṭa,90972,Bhedadhikkāra
90739,Advaitacintāmaṇi,40305,Balabhadramiśra,,
91500,Advaitacintāmaṇi,86030,Raṅgoji Bhaṭṭa,,
91516,Advaitacintāmaṇi,86035,Kumārabhāva Svāmin,,
93652,Advaitacintāmaṇi,86559,Sundareśa,,
95543,Advaitacintāmaṇi,87783,Śrīdeva,,
94851,Advaitacūḍāmaṇi,87197,Cidghanānandaguruśiṣya,,
41258,Advaitadarpaṇa,40307,Godāvaramiśra,,
94796,Advaitadarpaṇa and Bhāvaprakāśikā thereon,87146,Bhajūrāma,,
93474,Advaitādhikaraṇacintāmaṇimālā and Prakāśa thereon,86487,Ācārya Rāya Modaka,90299,Pañcadaśī
91021,Advaitadhikkāra,44704,Vijayīndratīrtha,,
94450,Advaitadīpa,86902,N.S.Anantakṛṣṇa Śāstrin,,
90968,Advaitadīpikā,85902,Nṛsiṃhāśrama,,
93926,Advaitadīpikā,86633,Kāmākṣin,,
95755,Advaitadīpikānukramaṇikā,87973,Vīrarāghava,,
94230,Advaitadīpikāvatāgama,86797,Veṅkaṭa Ramanācārya,,
94219,Advaitadīpikāvimarśa,86791,Rāghavendra Rāyapāla,,
93492,Advaitāditya,86489,Govindarakṣas,,
95486,Advaitāgamahṛdaya on Śaṃkara's Pañcīkaraṇa,87733,Śāntyānanda Sarasvatī,88671,Pañcīkaraṇa
93475,Advaitajalajāta,"86487, 86490","Ācārya Rāya Modaka, Pāṇḍuraṅga",,
91836,Advaitajñānasarvasva,86111,Mukunda Muni,,
92235,Advaitakālānala,86184,Nārāyaṇācārya,,
94059,Advaitakālāryaśatī and Saubhāgyalaharī thereon,86695,Nīlakaṇṭha Yāmin,,
93089,Advaitakāmadhenu,86368,Umāmaheśvara,,
91346,Advaitakaustubha,85980,Bhaṭṭoji Dīkṣita,,
91485,Advaitakaustubha,86024,Ratnakheṭa Śrīnivāsa Dīkṣita,,
90238,Advaitakhaṇḍana,85620,Nārāyaṇa Paṇḍitācārya,,
91845,Advaitakhaṇḍana,86113,Rāghavendra Tīrtha,,
95567,Advaitakhaṇḍana,87806,Śrīnivāsa Kavi,,
94116,Advaitakhaṇḍanamaṇḍana,86729,Vanikaṇṭha Śarman,,
94276,Advaitakhaṇḍanapūrvacandrikāmaṇḍana,86820,Rāma Subrahmaṇya,,
90567,Advaitamakaranda,85721,Lakṣmīdhara,,
95107,Advaitamakaranda,87405,Khaḍgeśvara Kavi,,
95355,Advaitamakarandaṭīkā,87619,Pūrṇānanda Tīrtha,90567,Advaitamakaranda
95196,Advaitamaṅgala,87476,Madhusūdana Vācaspati,,
95330,Advaitamañjarī,87595,Paramānandayogīndraśiṣya,,
92935,Advaitamañjarī on Bādarāyaṇa's Brahmasūtras,86316,Jñānendra Muni,88037,Brahmasūtra
93933,Advaitamārtaṇḍa,86637,Brahmānanda Tīrtha,,
94451,Advaitamārtaṇḍa,86902,N.S.Anantakṛṣṇa Śāstrin,,
94171,Advaitamatakhaṇḍanopanyāsa,86767,G.T.Śrīnivāsācārya,,
94316,Advaitāmoda,86837,Vāsudeva Śāstrin Abhyaṅkar,,
91287,Advaitāmṛta,85964,Brahmendra Sarasvatī,,
93827,Advaitāmṛta,86621,Rāma,,
97021,Advaitāmṛta,85803,Jagannātha Sarasvatī,,
93476,Advaitāmṛtamañjarī and Vyākhyā thereon,86487,Ācārya Rāya Modaka,,
93574,Advaitāmṛtasāgara,86513,Ādinārāyaṇa Śāstrin,,
94502,Advaitāmṛtasāra,86925,D.L.Śarma Purkayastha,,
90713,Advaitāmṛtavyākhyā,85803,Jagannātha Sarasvatī,,
95186,Advaitamuktāsāra and Kānti thereon,87466,Lokanātha,,
93828,Advaitanavanīta,86621,Rāma,,
93949,Advaitanavanīta,86644,Kṛṣṇāvadhūta Paṇḍita,,
93477,Advaitanirṇaya,86487,Ācārya Rāya Modaka,,
92087,Advaitanirṇayasaṃgraha,86144,Rāmānanda Tīrtha,,
93825,Advaitānubhava on Śaṃkara's Dakṣiṇāmūrtistora,86621,Rāma,88644,Dakṣiṇāmūrtistotra
95586,Advaitānubhavollāsa,87824,Subrabhamaṇyendra,,
88627,Advaitānubhūti,85218,Śaṃkara,,
93978,Advaitānubhūti,86652,Govinda Parivrājaka Paramahaṃsa,,
95062,Advaitānubhūtyaṣṭaka,87365,Jīvanmukta Bhikṣu,,
93181,Advaitānusaṃdhāna,86401,Abhinava Sītarāma Brahmendra,,
92886,Advaitānusaṃdhāna on Śaṃkara's Pañcīkaraṇa,86300,Sadāśiva Brahmendra,88671,Pañcīkaraṇa
93829,Advaitanyāyamatakhaṇḍana,86621,Rāma,,
93726,Advaitapadyabhāṣya,86579,Somanātha Vyāsa,,
94060,Advaitapañcaka,86695,Nīlakaṇṭha Yāmin,,
88628,Advaitapañcaratna,85218,Śaṃkara,,
93053,Advaitapañcaratna,86351,Narasiṃha Muni,,
94202,Advaitapanjara,86781,Kunhan Pillai Cattanpi Svamikel,,
94058,Advaitapārijāta with Śivapañcarātra,86695,Nīlakaṇṭha Yāmin,,
95099,Advaitapariśiṣṭa,87397,Keśava,,
90033,Advaitaprakāśa,85583,Durgāprasāda Yati,,
95201,Advaitaprakāśa,87481,Mahādeva,,
95698,Advaitaprakāśa,87921,Vāsudeva Jñāna,,
96851,Advaitaprakāśaḥ,,,,
92098,Advaitaprakāśikā,86144,Rāmānanda Tīrtha,42214,Bhagavadgītā
93727,Advaitaprakāśikā,86579,Somanātha Vyāsa,,
92090,Advaitarahasya,86144,Rāmānanda Tīrtha,,
92869,Advaitarasamanjari,86300,Sadāśiva Brahmendra,,
93178,Advaitarasamañjarī with Parimala thereon,86399,Nalla Dīkṣita,,
90677,Advaitaratna,85785,Mallaṇārādhya,,
91925,Advaitaratnākara,86118,Ananta Bhaṭṭa,,
93999,Advaitaratnākara and Ratnabhānu thereon,86658,Amaradāsa,,
95277,Advaitaratnākara on Bādarāyaṇa's Brahmasūtras,87552,Nārāyaṇānanda,88037,Brahmasūtra
92051,Advaitaratnakośapālinī,86132,Rāmakṛṣṇa Adhvarīndra,90981,Tattvaviveka
96876,Advaitaratnakośaṭīkā,86022,Agnihotra Bhaṭṭa,90981,Tattvaviveka
93577,Advaitaratnaprakāśa,86514,Amareśvara Śāstrin,,
91129,Advaitaratnarakṣaṇa,85928,Madhusūdana Sarasvatī,,
89628,Advaitasādhana,85464,Vedottama Bhaṭṭāraka,,
90937,Advaitasaṃgraha on Śaṃkara's Brahmasūtrabhāṣya,85880,Brahmānanda Tīrtha,88641,Brahmasūtrabhāṣya
93963,Advaitasāmrājya,86646,Kṛṣṇānanda Sarasvatī,,
92074,Advaitasāra,86138,Kṛṣṇambhaṭṭa Hosiṅga,,
93944,Advaitasāra,86640,Sundaramūrti,,
91501,Advaitaśāstrasāroddhāra,86030,Raṅgoji Bhaṭṭa,,
93022,Advaitaśāstravicāra,86339,Hariyaśomiśra,,
89534,Advaitaśataka,85439,Gaṅgādhara,,
94019,Advaitasiddhānta,86672,Hemacandra,,
95395,Advaitasiddhānta(guru)candrikā and Amṛtarasajharjharī thereon,87648,Rāmabrahmendra Sarasvatī,,
91379,Advaitasiddhāntasārasaṃgraha,85990,Nārāyaṇāśrama,,
93456,Advaitasiddhāntavaijayantī,86486,Tryambaka,,
92633,Advaitasiddhāntavidyotana,86264,Gauḍa Brahmānanda Sarasvatī,,
89069,Advaitasiddhi,85327,Helārāja,,
91131,Advaitasiddhi,85928,Madhusūdana Sarasvatī,,
91426,Advaitasiddhi,85999,Lakṣmaṇārya,,
95461,Advaitasiddhi,87708,Sahajānanda Tīrtha,,
94621,Advaitasiddhyāviṣkāra,86998,Kevalānanda Sarasvatī,,
91022,Advaitaśikṣā,44704,Vijayīndratīrtha,,
95414,Advaitaśrutibhedanirāsa,87665,Rāmānanda,,
91487,Advaitaśrutisāra,86025,Dattātreya Digambarānucāra,,
94142,Advaitastavavyākhyā,86746,Raghunātha Sūri,,
41499,Ādvaitasudhā,,,41500,Raghuvaṃśa
92304,Advaitasudhā,86191,Lakṣmaṇa Paṇḍita,,
92758,Advaitasudhā,86287,Nārāyaṇa Sarasvatī,,
94993,Advaitasudhā,87304,Govindāśrama,,
95137,Advaitasudhābindu,87430,Kṛṣṇa Rāma Śarman,,
95339,Advaitasudhānidhi,87603,Pattisappu Veṅkaṭeśvara,,
95066,Advaitasudhāsāra,87369,Jñānānanda,,
93950,Advaitasūtrārthapaddhati on Bādarāyaṇa's Brahmasūtras,86644,Kṛṣṇāvadhūta Paṇḍita,88037,Brahmasūtra
95428,Advaitataraṅgiṇī,87679,Rāmeśvara Śāstrin,,
94292,Advaitataraṇī,86824,Naṭeśārya,,
92868,Advaitatārāvalī,86300,Sadāśiva Brahmendra,90567,Advaitamakaranda
95298,Advaitatattvadīpa,87573,Nityānanda,,
94674,Advaitatattvamīmāṃsā,87040,Abheda Nanda Bhaṭṭācārya,,
94453,Advaitatattvasudhā,86902,N.S.Anantakṛṣṇa Śāstrin,,
94544,Advaitatattvasudhāsamīkṣā,86947,Vidyāmanya Tīrtha,,
93541,Advaitatulādīpa,86504,Timmana,,
90970,Advaitavāda,85902,Nṛsiṃhāśrama,,
93860,Advaita(vāda)khaṇḍana,86627,Rākhaladāsa Nyāyaratna Bhaṭṭācārya,,
93861,Advaitavādakhaṇḍanapariśiṣṭa,86627,Rākhaladāsa Nyāyaratna Bhaṭṭācārya,,
95259,Advaitavaidikasiddhāntasaṃgraha,87534,Narasiṃha,,
93457,Advaitavākyārtha,86486,Tryambaka,,
94454,Advaitavedāntabindu,86902,N.S.Anantakṛṣṇa Śāstrin,,
90741,Advaitavidyāmukura,85818,Raṅgarāja Dīkṣita,,
91615,Advaitavidyātilaka,86060,Samarapuṅgavāda Dīkṣita,,
92998,Advaitavidyāvicāra,86329,Veṅkatācārya,,
91321,Advaitavidyāvijaya,85975,Mahācārya,,
93478,Advaitavidyāvinoda,86487,Ācārya Rāya Modaka,,
93830,Advaitavijaya,86621,Rāma,,
93215,Advaitaviveka,86416,Āśādhara,,
90378,Advaitavivekapadayojanā,85655,Rāmakṛṣṇa,,
95383,Advaiteśvaravāda,87636,Raghunātha,,
89120,Advayasiddhi,85336,Śrīdhara,,
95918,Advayatārakopaniṣad,,,,
112165,Ādyādilakṣmīhṛdayastotra,,,,
97678,Adyātmavidyopadeśavidhi,85218,Śaṃkara,,
93390,Āgamāmṛta on Taittirīya Upaniṣad,86457,Sītārāmaśāstrin,96149,Taittirīyopaniṣad
95165,Āgamaneri Ahaval,87449,Kumāra Deva,,
89142,Āgamaprāmāṇya,85349,Yāmuna,,
92562,Āgamaprarūpaṇasvādhyāya,86233,Mānavijaya,,
92931,Āgamasāroddhāra,86313,Devacandra Yatipati,,
93539,Āgamasāroddhāra,86502,Devacandra,,
97438,Āgamaśāstravivaraṇa,85218,Śaṃkara,,
88880,Āgamasiddhikārikā and commentary,85255,Śaṃkaranandana,,
89311,Āgamāṣṭottarī,85384,Abhayadeva Sūri,,
89408,Āgamikavastuvicārasāraprakaraṇa,85402,Jinavallabha Sūri,,
104463,Agaruvarṇana,,,,
41693,Agastya,,,,
111693,Agastyārghavidhi,,,,
104465,Agastyavarṇana,,,,
41704,Aghadīpikā,,,,
41705,Aghanirṇaya,40726,Veṅkaṭeśa,,
41706,Aghanirṇaya,40727,Vīrarāghava,,
41710,Aghapañcaṣaṣṭḥi,40730,Mathurānātha,,
41708,Aghapañcavivecana,40730,Mathurānātha,,
41714,Aghapradīpa,,,,
